   Xe129
 Spin_n=   0.3285    Spin_p=   0.0100
  
  Set         u          S_p          S_n
  
   11     1.509  0.20542E-03  0.19468E-02
   11     1.717  0.20595E-03  0.19566E-02
   11     1.938  0.22178E-03  0.21638E-02
   11     2.173  0.24708E-03  0.24918E-02
   11     2.421  0.27535E-03  0.28571E-02
   11     2.683  0.29971E-03  0.31718E-02
   11     2.957  0.31404E-03  0.33594E-02
   11     3.100  0.31607E-03  0.33896E-02
 
   12    delta_a1(0)= -0.1780
   12     0.000  0.28094E-02  0.17207E+00
   12     0.060  0.25272E-02  0.13567E+00
   12     0.168  0.20527E-02  0.88686E-01
   12     0.329  0.14379E-02  0.46688E-01
   12     0.543  0.85226E-03  0.19992E-01
   12     0.671  0.62303E-03  0.12315E-01
   12     0.811  0.44882E-03  0.74695E-02
   12     0.966  0.32723E-03  0.46246E-02
   12     1.133  0.24994E-03  0.30715E-02
   12     1.314  0.20693E-03  0.23033E-02
   12     1.509  0.18947E-03  0.20089E-02
   12     1.717  0.19099E-03  0.20180E-02
   12     1.938  0.20627E-03  0.22321E-02
   12     2.173  0.23021E-03  0.25714E-02
   12     2.421  0.25698E-03  0.29493E-02
   12     2.683  0.28035E-03  0.32744E-02
   12     2.957  0.29464E-03  0.34676E-02
   12     3.100  0.29709E-03  0.34981E-02
 
