# cS1 ebandflat_new
22.102570 -0.134171
4.545958 0.222095
14.054926 0.085367
16.489206 -0.068612
12.193911 0.053986
26.766806 0.088552
13.723963 0.079887
14.571775 -0.188812
29.039858 -0.043266
26.665344 0.074711
4.799918 0.014536
14.942334 -0.056158
17.699261 0.143982
14.972451 0.059919
29.128712 0.172221
16.945459 -0.064727
8.555867 -0.021530
25.979799 0.035181
25.538393 -0.131431
18.186796 -0.091696
20.855404 -0.022281
29.598858 -0.022433
13.554926 0.139171
7.791346 0.032649
13.146248 0.191319
25.231525 -0.064371
22.504951 0.040084
9.494432 -0.090068
11.071369 -0.108237
6.045776 -0.017311
28.319565 0.048844
6.005105 -0.055200
13.597231 0.147295
16.333817 -0.120201
3.511529 -0.099524
6.339750 0.018987
12.489716 0.065947
20.290848 -0.062706
23.428297 0.011515
24.968323 -0.160807
29.379951 -0.272811
21.031353 -0.166332
10.254045 0.138914
4.826695 -0.289304
25.313894 -0.006663
20.737326 -0.269282
28.325407 -0.262041
3.982618 -0.033643
13.507672 0.192390
21.306051 -0.079249
15.018302 -0.072585
25.270578 0.127106
11.333340 -0.095107
4.144846 0.192535
17.697054 0.071743
19.264868 -0.039460
29.204586 0.012132
6.692862 0.165325
26.798515 0.077451
18.249115 0.066325
29.891624 -0.027002
4.638194 -0.659238
22.386717 -0.188585
10.570093 -0.053039
16.439676 0.046007
29.223230 -0.080187
21.118872 -0.006922
29.375025 -0.115174
22.100124 -0.151010
15.916551 -0.274389
8.883559 -0.016933
10.809392 0.059158
16.570536 0.072195
27.760347 -0.152513
4.675569 0.245418
28.841604 0.130817
26.664368 0.146131
29.658207 0.311139
15.862535 0.192248
11.699064 0.219082
6.585498 0.125169
20.952003 -0.073388
5.699666 -0.167076
21.628748 0.018992
18.721968 0.232097
29.713989 0.108570
15.686767 -0.163925
25.151834 -0.053434
20.479424 0.143276
16.594898 0.046304
3.315431 -0.061779
14.211894 -0.008384
20.339005 -0.208383
16.035965 -0.205152
13.338840 0.113301
19.333031 0.233211
8.033509 -0.001365
18.224222 -0.136681
21.027330 0.099748
29.432373 -0.181503
17.396231 0.181813
4.748151 0.045100
9.593283 0.163163
14.702302 0.031907
5.893964 -0.111653
29.882973 -0.023416
26.564768 0.206926
20.485954 -0.015472
18.427057 -0.003243
24.760349 0.056768
24.654232 -0.059080
25.375931 0.047713
3.663814 0.298994
3.169582 -0.100482
9.772386 -0.252505
19.058550 0.029901
25.687206 -0.100963
13.381892 0.140362
25.778622 0.077012
10.813414 -0.085205
7.858729 0.103849
10.695435 -0.074693
4.848678 0.070293
14.864274 0.023466
12.418231 -0.127110
7.650663 -0.024523
25.276937 -0.177483
10.624850 -0.032042
5.470759 0.063617
29.478878 0.086195
7.651245 0.080518
15.183552 0.114198
20.508057 0.235350
22.552858 0.220308
6.199025 -0.048668
20.180189 0.209249
17.883272 -0.134193
11.724506 -0.097022
20.007666 0.063038
11.895041 -0.118650
9.966078 -0.033783
7.752017 0.223320
21.935507 -0.057786
13.760887 0.102106
24.813234 0.034037
