# S1              S2
  2.2853620e+001  2.7679294e+003
  1.7395600e+001  1.5722566e+003
  2.9903800e+001  2.7158913e+003
  1.2352750e+001  1.4662656e+003
  3.4736220e+001  3.6695817e+003
  1.4156830e+001  3.3034065e+003
  1.4692600e+001  1.6817702e+003
  1.1330090e+001  1.5441993e+003
  8.1463320e+000  1.4304053e+003
  2.1533720e+001  2.4174420e+003
  2.6297920e+000  9.8558571e+002
  3.1206850e+001  3.6436524e+003
  2.5821730e+001  1.7851608e+003
  9.8783650e+000  1.2317457e+003
  2.5098270e+001  2.2467243e+003
  3.4329380e+001  3.1924269e+003
  1.5663300e+001  2.9256965e+003
  2.6465450e+001  3.2787725e+003
  2.4374720e+001  2.8990696e+003
  1.8700090e+001  9.6480311e+002
  1.5258950e+001  2.3339237e+003
  1.4993090e+001  2.6279321e+003
  2.7549000e+001  2.1635944e+003
  2.5428580e+001  3.0352824e+003
  5.5831140e+000  1.3774235e+003
  2.9975290e+001  1.5041266e+003
  5.6285770e+000  1.5941112e+003
  3.8665820e+001  2.9019119e+003
  2.2263460e+001  9.0914396e+002
  3.2599840e+001  2.9704105e+003
  2.4458110e+001  3.6233050e+003
  3.6636460e+000  1.3046004e+003
  2.6328960e+001  2.1489124e+003
  3.8092240e+001  3.1017266e+003
  4.7419600e+000  1.8207314e+003
  1.8116480e+001  1.3736049e+003
  3.4743370e+001  2.9519904e+003
  1.0194050e+001  2.1649843e+003
  3.4820480e+001  4.8114586e+003
  2.3239730e+001  3.2494217e+003
  9.8391610e+000  1.4960774e+003
  3.8266440e+000  6.6284664e+002
  1.4301400e+001  1.0551703e+003
  7.5288840e+000  8.6364767e+002
  3.2390440e+001  2.8755760e+003
  1.5120100e+001  1.2578726e+003
  6.9830890e+000  1.3118633e+003
  4.9328530e+000  7.4527263e+002
  1.6486880e+001  2.5957895e+003
  8.8215110e+000  1.8247862e+003
  3.4390040e+001  3.9744742e+003
  2.7028420e+000  7.6881644e+002
  2.6955620e+001  1.7094458e+003
  2.6590390e+001  2.3871940e+003
  8.4884680e+000  1.6251457e+003
  3.5088950e+001  2.7292629e+003
  2.6036020e+001  2.4913033e+003
  1.6198080e+001  1.6535927e+003
  1.1395790e+001  2.1889530e+003
  2.2142720e+001  1.6979581e+003
  4.8430910e+000  1.0382779e+003
  2.1773660e+000  7.3159282e+002
  1.1566520e+001  1.5296734e+003
  3.1764640e+001  2.1541252e+003
  2.1097800e+001  2.0493030e+003
  1.7398380e+001  3.2916664e+003
  2.8700670e+000  8.7366117e+002
  8.4111270e+000  1.6197769e+003
  3.1028230e+001  3.3101449e+003
  4.0636080e+000  7.9578877e+002
  1.9290950e+001  2.7536619e+003
  1.4796900e+001  1.4342793e+003
  9.6809920e+000  2.2619336e+003
  3.6555900e+001  5.1217512e+003
  2.3279100e+001  1.1114071e+003
  1.2810570e+001  1.3593192e+003
  3.0460210e+001  4.0416053e+003
  3.7126210e+001  4.3055002e+003
  3.1086430e+000  7.2137128e+002
  3.2901440e+001  2.4990843e+003
  6.1330670e+000  1.2377608e+003
  9.5645370e+000  1.8893045e+003
  2.4361530e+001  2.1469383e+003
  1.6809120e+001  9.3903759e+002
  1.3807050e+001  1.3048539e+003
  3.0063250e+000  1.4307769e+003
  3.2864740e+001  4.0205568e+003
  1.8282380e+001  3.0559816e+003
  1.4553450e+001  1.7989536e+003
  3.5672950e+001  2.8526798e+003
  1.2743990e+001  1.9156776e+003
  2.8068300e+001  2.3128108e+003
  2.2320710e+001  3.2118703e+003
  2.0249140e+001  1.6503938e+003
  2.8396690e+001  2.6944847e+003
  2.1379320e+001  1.3996579e+003
  3.8480090e+000  1.3954365e+003
  1.6377990e+001  2.0834525e+003
  3.8178490e+001  3.8650289e+003
  2.2673360e+001  2.2934796e+003
  2.3383580e+001  2.2951602e+003
  7.1548510e+000  1.7442695e+003
  1.6976130e+001  1.5765316e+003
  3.8888520e+001  5.5058252e+003
  3.8671600e+001  3.8096242e+003
  2.9217850e+001  4.7294676e+003
  1.5948190e+001  2.8202162e+003
  8.3451560e+000  1.0042144e+003
  2.3803480e+001  1.5238403e+003
  2.4273080e+001  2.7031546e+003
  2.0930240e+001  1.0874773e+003
  2.5127810e+001  2.3598785e+003
  4.0991800e+000  7.8628681e+002
  3.6382950e+001  2.9541661e+003
  3.2281690e+001  3.2489443e+003
  1.3181190e+001  2.1444929e+003
  1.1182700e+001  1.9040514e+003
  3.1935860e+001  2.7133300e+003
  3.7204840e+001  3.0060240e+003
  3.6375800e+001  3.2567435e+003
  8.8000470e+000  1.0249295e+003
  1.4584970e+001  1.8240786e+003
  2.9712720e+001  2.1427002e+003
  2.6564370e+001  2.8064708e+003
  2.0935730e+001  2.1079151e+003
  3.5508360e+000  6.5371374e+002
  2.4788110e+001  1.7661371e+003
  3.9027020e+001  4.2912260e+003
  8.6945980e+000  9.3346171e+002
  5.0485520e+000  1.9148768e+003
  2.4465520e+001  1.3132531e+003
  1.3900390e+001  1.9624517e+003
  3.6575630e+001  3.0886935e+003
  3.5810890e+000  9.3120460e+002
  2.4397160e+001  3.2406884e+003
  1.1066150e+001  1.6909024e+003
  2.5132450e+001  3.7744774e+003
  3.8465180e+001  3.4234404e+003
  3.9100450e+001  3.2944412e+003
  2.7778350e+001  2.8143522e+003
  1.0386990e+001  1.2872376e+003
  2.8975160e+001  2.6003562e+003
  7.3607270e+000  8.9377605e+002
  1.9470000e+001  2.2498106e+003
  6.9691030e+000  1.1239083e+003
  6.0858280e+000  1.2752569e+003
  7.1001710e+000  1.0800499e+003
  3.9191090e+001  1.1931783e+003
  1.5485060e+001  2.6255536e+003
  3.3986400e+001  2.9521483e+003
  2.1498300e+001  2.9562497e+003
  3.1082780e+001  4.3542148e+003
  2.8450730e+001  2.9778541e+003
  2.9311250e+001  1.9906749e+003
  3.7826190e+001  2.3679722e+003
  1.4626910e+000  6.1785361e+002
  1.1666720e+001  1.5961356e+003
  3.4852040e+001  3.4218834e+003
  1.7410270e+001  2.2017931e+003
  1.4847750e+001  2.2924277e+003
  7.3640200e+000  1.4731432e+003
  3.6746940e+001  3.1270310e+003
  6.4947080e+000  8.0277461e+002
  6.5555510e+000  1.6351937e+003
  3.0616310e+001  4.4065109e+003
  2.8922370e+001  2.8635507e+003
  3.6316610e+001  2.5554142e+003
  2.6365080e+001  4.5985096e+003
